
# Page 207 Column 1
eot yacht
eotsmn yachtsman
? a|'u yahoo
a|k yak
a|m yam
a|nke yankee
a~|d yard
a~|dam yardarm
a~|d-f yardful
a~|dstek yardstick
a~|n yarn
a|ro yarrow
e-o yaw
e-ol yawl
e-on yawn
e|, ye
a|, yea

# Page 207 Column 2
e|r year
e|rbk yearbook
e|rl' yearling
e~|n yearn
e~|n^e yearningly
e|st yeast
e|l yell
e|lo yellow
e|lon yellowness
e|lp yelp
e-omn yeoman
e-omnre yeomanry
e| yes
e|st yesterday
e|t yet
e|ld yield
e|ldr yielder

# Page 207 Column 3
e-odl yodel
e-oga yoga
e-ok yoke
e-ok yolk
e-on yon
u you
u your
us yourself
ung young
unge~ younger
ungste~ youngster
euth youth
euth)f youthful
? e|uka yucca
? e|uga yuga
eul yule
eulti yuletide
eumas yumas
